"MAPUNIT,C,68","PROVINCE,C,2","MU_GROUP,C,4","SN_GROUP,C,6"
PEPED103Ds:5-Cb:4,PE,PE75,1
PEPED103Ds:5-Cb:4/C,PE,PE75,1
PEPED103Ds:5-Cb:5,PE,PE75,1
PEPED103Ds:5-Rp:4/B,PE,PE75,1
PEPED103Ds:5-Rp:4/DB,PE,PE75,1
PEPED103Ds:6-Cb:4,PE,PE75,1
PEPED103Ds:7-Cb:3,PE,PE75,1
PEPED103Ds:7-Sm:2,PE,PE75,1
PEPED103Ds:8-Cb:2,PE,PE75,1
PEPED103Ds:9-Sm:1,PE,PE75,1
PEPED103Du(dp/B,PE,PE75,1
PEPED103Du:4-Ch:2-Sm:1(dp/C,PE,PE75,1
PEPED103Du:4-Lr:3-Ol:2(dp/BC,PE,PE75,1
PEPED103Du:4-Mg:2-Ol:2(dp/B,PE,PE75,1
PEPED103Du:4-Mg:4(dp/B,PE,PE75,1
PEPED103Du:4-Ol:3(dp/B,PE,PE75,1
PEPED103Du:4-Ol:4(dp/C,PE,PE75,1
PEPED103Du:5-Ch:4(dp/BC,PE,PE75,1
PEPED103Du:5-Mg:3(dp/B,PE,PE75,1
PEPED103Du:5-Ol:2(dp/BC,PE,PE75,1
PEPED103Du:5-Ol:4(dp/B,PE,PE75,1
PEPED103Du:5-Ol:4-Ch:1(dp/BC,PE,PE75,1
PEPED103Du:5-Ol:5(dp/B,PE,PE75,1
PEPED103Du:5-Ol:5(dp/C,PE,PE75,1
PEPED103Du:6-Mg:3(dp/B,PE,PE75,1
PEPED103Du:7-Mg:3(dp/B,PE,PE75,1
PEPED103Du:7-Ol:2(dp/B,PE,PE75,1
PEPED103Du:7-Ol:2(dp/BC,PE,PE75,1
PEPED103Du:8-Mg:2(dp/C,PE,PE75,1
PEPED103Du:9-Ol:1(dp/B,PE,PE75,1
PEPED103Eg(dp/B,PE,PE75,1
PEPED103Eg:3-Ol:2-Sm:2(dp/CB,PE,PE75,1
PEPED103Eg:4-Wf:4-Sm:1(dp/CB,PE,PE75,1
PEPED103Eg:5-Du:3(dp/B,PE,PE75,1
PEPED103Eg:6-Du:2(dp/B,PE,PE75,1
PEPED103Em/F,PE,PE75,1
PEPED103En:6-Po:2(dp/B,PE,PE75,1
PEPED103Fp/C,PE,PE75,1
